"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 30 08:27:29 IST 2021","Sat Oct 30 08:27:30 IST 2021","509","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user click element ""PaymentOptions""","And user click element ""PaymentOptions""",""
"passed","Sat Oct 30 08:27:13 IST 2021","Sat Oct 30 08:27:13 IST 2021","702","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user click element ""PhonePriceRange""","And user click element ""PhonePriceRange""",""
"passed","Sat Oct 30 08:27:13 IST 2021","Sat Oct 30 08:27:15 IST 2021","1040","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user click element ""PhoneModel""","And user click element ""PhoneModel""",""
"passed","Sat Oct 30 08:27:17 IST 2021","Sat Oct 30 08:27:18 IST 2021","934","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And User verify element on screen ""MyCart""","And User verify element on screen ""MyCart""",""
"passed","Sat Oct 30 08:27:10 IST 2021","Sat Oct 30 08:27:11 IST 2021","981","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user click element ""Mobiles""","And user click element ""Mobiles""",""
"passed","Sat Oct 30 08:27:32 IST 2021","Sat Oct 30 08:27:32 IST 2021","1","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","","",""
"passed","Sat Oct 30 08:27:20 IST 2021","Sat Oct 30 08:27:21 IST 2021","1090","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user click element ""Cart""","And user click element ""Cart""",""
"passed","Sat Oct 30 08:27:32 IST 2021","Sat Oct 30 08:27:32 IST 2021","586","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user capture screenshot with name ""paymentScreen""","And user capture screenshot with name ""paymentScreen""",""
"passed","Sat Oct 30 08:27:18 IST 2021","Sat Oct 30 08:27:19 IST 2021","663","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user click element ""Home""","And user click element ""Home""",""
"broken","Sat Oct 30 08:27:07 IST 2021","Sat Oct 30 08:27:07 IST 2021","18","","Interview assignment: As a user, I want to place an order for a OPPO phone","","Interview assignment: As a user, I want to place an order for a OPPO phone","Given Evolent end to end test case","Given Evolent end to end test case",""
"passed","Sat Oct 30 08:27:27 IST 2021","Sat Oct 30 08:27:29 IST 2021","1685","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user click element ""Continue""","And user click element ""Continue""",""
"passed","Sat Oct 30 08:27:30 IST 2021","Sat Oct 30 08:27:31 IST 2021","1692","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user click element ""NetBanking""","And user click element ""NetBanking""",""
"passed","Sat Oct 30 08:27:31 IST 2021","Sat Oct 30 08:27:32 IST 2021","442","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user select option  ""CORPORATION"" from field ""BanksDropDown""","And user select option  ""CORPORATION"" from field ""BanksDropDown""",""
"passed","Sat Oct 30 08:27:07 IST 2021","Sat Oct 30 08:27:07 IST 2021","1","","Interview assignment: As a user, I want to place an order for a OPPO phone","","Interview assignment: As a user, I want to place an order for a OPPO phone","","",""
"passed","Sat Oct 30 08:27:12 IST 2021","Sat Oct 30 08:27:13 IST 2021","1022","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user click element ""MobileCompany""","And user click element ""MobileCompany""",""
"passed","Sat Oct 30 08:27:22 IST 2021","Sat Oct 30 08:27:25 IST 2021","3780","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user click element ""PlaceOrder""","And user click element ""PlaceOrder""",""
"passed","Sat Oct 30 08:27:21 IST 2021","Sat Oct 30 08:27:22 IST 2021","747","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And User verify element on screen ""PhoneModelInCart""","And User verify element on screen ""PhoneModelInCart""",""
"passed","Sat Oct 30 08:27:15 IST 2021","Sat Oct 30 08:27:17 IST 2021","2507","","Interview assignment: As a user, I want to purchase a OPPO phone","","Interview assignment: As a user, I want to purchase a OPPO phone","And user click element ""AddToCart""","And user click element ""AddToCart""",""
